iter	Logloss
0	0.6695741201
1	0.6477205896
2	0.6273300588
3	0.6084337538
4	0.5908508904
5	0.5746679986
6	0.5594392336
7	0.5455867307
8	0.532709967
9	0.5204764995
10	0.5093909401
11	0.4991735049
12	0.4893351203
13	0.4802602254
14	0.4719849128
15	0.4641467288
16	0.4567981571
17	0.4501981661
18	0.4438188768
19	0.4380408876
20	0.4326684346
21	0.4274663986
22	0.4228275833
23	0.4183616218
24	0.4143570006
25	0.4105716269
26	0.4070650776
27	0.4037496358
28	0.4005593538
29	0.3977141626
30	0.3950071698
31	0.3924845886
32	0.3901647481
33	0.3879010478
34	0.3858792622
35	0.3839055949
36	0.3820181347
37	0.3802565684
38	0.3786357561
39	0.3771562695
40	0.3757673267
41	0.3743499866
42	0.3730519249
43	0.3718711701
44	0.3707270177
45	0.3697168093
46	0.3688003797
47	0.3679010422
48	0.3670178046
49	0.3661562015
50	0.3653509714
51	0.3646307902
52	0.3639712728
53	0.3633744836
54	0.3628205019
55	0.3622628837
56	0.3617150337
57	0.3612284771
58	0.3607694166
59	0.3603428045
60	0.3599366923
61	0.359560585
62	0.3591884803
63	0.3587010431
64	0.3583734378
65	0.358040796
66	0.3577440845
67	0.3574098493
68	0.3570942215
69	0.3568295676
70	0.3565449155
71	0.3563085161
72	0.356055372
73	0.3557518773
74	0.3555386858
75	0.355317622
76	0.3551142266
77	0.3549288536
78	0.35475925
79	0.3545970913
80	0.3544279643
81	0.3542771089
82	0.3541017581
83	0.3539665726
84	0.3538282599
85	0.3536844313
86	0.3535534202
87	0.353420856
88	0.3533107376
89	0.3531249445
90	0.3529780703
91	0.3528249393
92	0.352733137
93	0.3526331668
94	0.3525248761
95	0.3524311313
96	0.3523351765
97	0.3522380942
98	0.3521113315
99	0.3520195721
