iter	Passed	Remaining
0	1171	116003
1	2366	115957
2	3524	113948
3	4690	112573
4	5825	110684
5	6952	108924
6	8076	107296
7	9377	107843
8	10676	107948
9	11823	106409
10	13138	106302
11	14441	105901
12	15617	104514
13	16845	103478
14	18098	102560
15	19329	101482
16	20560	100382
17	21834	99467
18	23085	98416
19	24347	97388
20	25537	96068
21	26756	94863
22	28043	93884
23	29279	92717
24	30635	91906
25	31914	90833
26	33179	89708
27	34510	88742
28	35774	87585
29	37107	86584
30	38461	85607
31	39777	84526
32	41035	83314
33	42230	81976
34	43535	80851
35	44843	79721
36	46098	78492
37	47260	77108
38	48509	75873
39	49786	74679
40	51046	73457
41	52290	72210
42	53572	71014
43	54757	69690
44	56068	68528
45	57425	67412
46	58781	66285
47	60187	65203
48	61562	64075
49	62739	62739
50	64002	61492
51	65347	60320
52	66698	59147
53	68059	57976
54	69386	56770
55	70764	55600
56	72017	54329
57	73353	53118
58	74663	51884
59	76012	50674
60	77424	49500
61	78789	48290
62	79960	46961
63	81096	45616
64	82311	44321
65	83495	43012
66	84636	41686
67	85807	40380
68	86967	39072
69	88119	37765
70	89303	36476
71	90442	35172
72	91632	33891
73	92800	32605
74	93907	31302
75	94967	29989
76	96147	28719
77	97251	27429
78	98463	26173
79	98463	26173
80	100515	23872
81	102317	22737
82	103597	21477
83	105466	20330
84	106832	19077
85	108180	17817
86	110016	16630
87	111924	15437
88	113348	14168
89	114459	12860
90	115681	11568
91	116834	10271
92	119582	9098
93	120950	7803
94	122397	6510
95	124003	5221
96	125502	3921
97	126805	2614
98	128193	1308
99	129603	0
